domain,model,h_relax,h_strict,h_start,h_end,n_sign_changes
pm25,extratrees,48,26,23,48,3
pm25,lightgbm,48,19,30,48,1
pm25,ridge,48,40,9,48,1
load,extratrees,0,0,0,0,0
load,lightgbm,0,0,0,0,0
load,ridge,7,7,1,7,0
wind,extratrees,48,47,2,48,1
wind,lightgbm,48,48,1,48,0
wind,ridge,48,48,1,48,0
traffic,extratrees,72,4,64,67,17
traffic,lightgbm,72,4,64,67,15
traffic,ridge,72,5,63,67,15
pm10,extratrees,7,6,2,7,1
pm10,lightgbm,7,6,2,7,1
pm10,ridge,7,7,1,7,0
pm10_bcn,extratrees,7,7,1,7,0
pm10_bcn,lightgbm,7,7,1,7,0
pm10_bcn,ridge,7,7,1,7,0
wind,arima,48,48,1,48,0
traffic,arima,70,9,52,60,14
load,knn,0,0,0,0,0
load,mlp,0,0,0,0,0
traffic,knn,72,6,64,69,15
traffic,mlp,66,3,40,42,6
wind,knn,48,47,2,48,1
wind,mlp,48,47,2,48,1
pm10,knn,7,6,2,7,1
pm10,mlp,7,7,1,7,0
pm25,knn,48,16,33,48,3
pm25,mlp,48,36,13,48,1
pm10_bcn,knn,7,6,2,7,1
pm10_bcn,mlp,7,7,1,7,0
