domain,model,h_relax,h_strict,h_start,h_end,n_sign_changes,pct_horizons_significant,profile_type
pm25,extratrees,48,26,23,48,3,37.5,DELAYED_CONTIGUOUS
pm25,lightgbm,48,19,30,48,1,35.41666666666667,FRAGMENTED
pm25,ridge,48,40,9,48,1,58.333333333333336,FRAGMENTED
load,extratrees,0,0,0,0,0,0.0,IMMEDIATE_COLLAPSE
load,lightgbm,0,0,0,0,0,0.0,IMMEDIATE_COLLAPSE
load,ridge,7,7,1,7,0,0.0,SUSTAINED
wind,extratrees,48,47,2,48,1,83.33333333333334,FRAGMENTED
wind,lightgbm,48,48,1,48,0,72.91666666666666,SUSTAINED
wind,ridge,48,48,1,48,0,100.0,SUSTAINED
traffic,extratrees,72,4,64,67,17,4.166666666666666,FRAGMENTED
traffic,lightgbm,72,4,64,67,15,4.166666666666666,FRAGMENTED
traffic,ridge,72,5,63,67,15,13.88888888888889,FRAGMENTED
pm10,extratrees,7,6,2,7,1,71.42857142857143,DELAYED_CONTIGUOUS
pm10,lightgbm,7,6,2,7,1,85.71428571428571,DELAYED_CONTIGUOUS
pm10,ridge,7,7,1,7,0,85.71428571428571,SUSTAINED
pm10_bcn,extratrees,7,7,1,7,0,85.71428571428571,SUSTAINED
pm10_bcn,lightgbm,7,7,1,7,0,85.71428571428571,SUSTAINED
pm10_bcn,ridge,7,7,1,7,0,100.0,SUSTAINED
wind,arima,48,48,1,48,0,89.58333333333334,SUSTAINED
traffic,arima,70,9,52,60,14,22.22222222222222,FRAGMENTED
load,knn,0,0,0,0,0,100.0,IMMEDIATE_COLLAPSE
load,mlp,0,0,0,0,0,100.0,IMMEDIATE_COLLAPSE
traffic,knn,72,6,64,69,15,2.7777777777777777,FRAGMENTED
traffic,mlp,66,3,40,42,6,9.722222222222223,FRAGMENTED
wind,knn,48,47,2,48,1,85.41666666666666,FRAGMENTED
wind,mlp,48,47,2,48,1,95.83333333333334,FRAGMENTED
pm10,knn,7,6,2,7,1,71.42857142857143,DELAYED_CONTIGUOUS
pm10,mlp,7,7,1,7,0,85.71428571428571,SUSTAINED
pm25,knn,48,16,33,48,3,37.5,FRAGMENTED
pm25,mlp,48,36,13,48,1,37.5,DELAYED_CONTIGUOUS
pm10_bcn,knn,7,6,2,7,1,100.0,DELAYED_CONTIGUOUS
pm10_bcn,mlp,7,7,1,7,0,100.0,SUSTAINED
