domain,model,horizon,n_origins,mae_model,mae_baseline,skill
load,extratrees,1,281,601390.1744456844,568627.189821345,-0.05761768907785281
load,extratrees,2,280,959007.3148730287,864985.1230985677,-0.10869804493012869
load,extratrees,3,279,1077172.5676748361,984547.1334109964,-0.09407922802327984
load,extratrees,4,278,1164054.60237428,1074526.0677357917,-0.08331909045923869
load,extratrees,5,277,1261108.356615038,1164833.8978975199,-0.08265080445485817
load,extratrees,6,276,1354069.8662492945,1235409.0252543804,-0.09604984144460249
load,extratrees,7,275,1471630.0261452254,1303234.7284026914,-0.1292133290132067
load,knn,1,281,713753.9376675556,568627.189821345,-0.25522301860346763
load,knn,2,280,1049736.142025252,864985.1230985677,-0.21358866643262653
load,knn,3,279,1219191.882265747,984547.1334109964,-0.238327593359412
load,knn,4,278,1303838.3827939539,1074526.0677357917,-0.21340786598259265
load,knn,5,277,1403377.9481043767,1164833.8978975199,-0.20478803942555213
load,knn,6,276,1498734.7556842146,1235409.0252543804,-0.21314862126380651
load,knn,7,275,1619917.9309365142,1303234.7284026914,-0.2429978235171535
load,lightgbm,1,281,610784.1297840574,568627.189821345,-0.07413810088110195
load,lightgbm,2,280,939586.4007710761,864985.1230985677,-0.08624573496162591
load,lightgbm,3,279,1073931.7019278882,984547.1334109964,-0.09078749557394583
load,lightgbm,4,278,1148809.0598767777,1074526.0677357917,-0.06913093536903481
load,lightgbm,5,277,1299475.555465401,1164833.8978975199,-0.11558871853824315
load,lightgbm,6,276,1380194.1351009896,1235409.0252543804,-0.11719609205282988
load,lightgbm,7,275,1520377.0605675685,1303234.7284026914,-0.16661797558987512
load,mlp,1,281,22432963.153554957,568627.189821345,-38.45109125119939
load,mlp,2,280,22447536.27649058,864985.1230985677,-24.95135532051528
load,mlp,3,279,22467144.375599746,984547.1334109964,-21.819775319198353
load,mlp,4,278,22488070.534785725,1074526.0677357917,-19.928362010027264
load,mlp,5,277,22507663.870408542,1164833.8978975199,-18.32263811263907
load,mlp,6,276,22522228.704310633,1235409.0252543804,-17.230584562609238
load,mlp,7,275,22470210.01586707,1303234.7284026914,-16.24187479519339
load,ridge,1,281,557528.7769748225,568627.189821345,0.019517907418407976
load,ridge,2,280,850197.72511156,864985.1230985677,0.017095551810227705
load,ridge,3,279,977545.3852752232,984547.1334109964,0.007111643412657576
load,ridge,4,278,1069818.1980838648,1074526.0677357917,0.004381345221198041
load,ridge,5,277,1142576.7200715619,1164833.8978975199,0.019107597972664925
load,ridge,6,276,1197975.8096323789,1235409.0252543804,0.030300260769338117
load,ridge,7,275,1282512.1950453464,1303234.7284026914,0.015900844955799798
