domain,model,horizon,n_origins,mae_model,mae_baseline,skill
pm10_bcn,extratrees,1,2441,6.358830198389179,6.530719021337575,0.026320045677480475
pm10_bcn,extratrees,2,2440,7.8514669684665455,8.714910341859092,0.09907656413231147
pm10_bcn,extratrees,3,2439,8.093134066920905,9.363964627341797,0.13571501078829362
pm10_bcn,extratrees,4,2438,8.273863532527695,9.90208101021942,0.16443184781172027
pm10_bcn,extratrees,5,2437,8.396177887015583,9.978192095878748,0.15854717905426763
pm10_bcn,extratrees,6,2436,8.250423741623154,9.757222377604611,0.15442905549021368
pm10_bcn,extratrees,7,2435,8.37931714727414,9.80123096733263,0.14507502422886576
pm10_bcn,knn,1,2441,6.815362529407887,6.530719021337575,-0.043585324547007254
pm10_bcn,knn,2,2440,8.239665826624453,8.71491034185909,0.05453234704572496
pm10_bcn,knn,3,2439,8.506831378975495,9.363964627341797,0.09153529327348842
pm10_bcn,knn,4,2438,8.676197083881862,9.90208101021942,0.12380063595444113
pm10_bcn,knn,5,2437,8.710238422337508,9.978192095878748,0.1270724858128296
pm10_bcn,knn,6,2436,8.599331032807674,9.757222377604611,0.11867018091691772
pm10_bcn,knn,7,2435,8.599856498248169,9.80123096733263,0.12257383517321718
pm10_bcn,lightgbm,1,2441,6.379503589463463,6.530719021337575,0.023154484426607835
pm10_bcn,lightgbm,2,2440,7.749323305228278,8.714910341859092,0.11079712799716901
pm10_bcn,lightgbm,3,2439,8.017363322237475,9.363964627341797,0.14380674839078167
pm10_bcn,lightgbm,4,2438,8.283414589709393,9.90208101021942,0.16346729731250298
pm10_bcn,lightgbm,5,2437,8.414850983969437,9.978192095878748,0.15667578824775397
pm10_bcn,lightgbm,6,2436,8.362339840908897,9.757222377604611,0.14295897774117938
pm10_bcn,lightgbm,7,2435,8.23551338581396,9.80123096733263,0.1597470345038482
pm10_bcn,mlp,1,2441,6.147208136479308,6.530719021337575,0.05872414409580873
pm10_bcn,mlp,2,2440,7.574146800875016,8.71491034185909,0.13089790901287957
pm10_bcn,mlp,3,2439,7.8369247557039206,9.363964627341797,0.16307621102914893
pm10_bcn,mlp,4,2438,7.990828709320259,9.90208101021942,0.19301521558212442
pm10_bcn,mlp,5,2437,8.076029263827262,9.978192095878748,0.19063201166843924
pm10_bcn,mlp,6,2436,8.011882095473249,9.757222377604611,0.17887675555467275
pm10_bcn,mlp,7,2435,7.998702328473506,9.80123096733263,0.1839083932280473
pm10_bcn,ridge,1,2441,6.015900334621631,6.530719021337575,0.07883032251638689
pm10_bcn,ridge,2,2440,7.4531092589580945,8.714910341859092,0.14478646749127955
pm10_bcn,ridge,3,2439,7.708300144995509,9.363964627341797,0.1768123383883703
pm10_bcn,ridge,4,2438,7.88486404920581,9.90208101021942,0.20371646716803726
pm10_bcn,ridge,5,2437,7.947641890070502,9.978192095878748,0.20349880883200444
pm10_bcn,ridge,6,2436,7.9082611056771785,9.757222377604611,0.18949668259803987
pm10_bcn,ridge,7,2435,7.910198096615473,9.80123096733263,0.19293830305804893
