horizon,baseline_mae,model_mae
1,2.2105427567671696,2.9986920766991334
2,3.1497225852952817,4.087190255257585
3,4.333555055942446,5.1546347818131855
4,5.248958503706938,6.12191093430888
5,6.207525765112555,7.046694803628297
6,7.149043016140219,7.922050270374526
7,8.063739152049216,8.700621027442198
8,8.854117739248556,9.328104529486282
9,9.529402054521048,9.815333692189649
10,9.99865513863337,10.141843204799853
11,10.366948213157874,10.307948235064318
12,10.526954049439384,10.220784587923957
13,10.392143466454092,9.928072282271744
14,10.056420786841551,9.43971014675263
15,9.617382685663223,8.834837096830215
16,8.957836787509073,8.04295631672114
17,8.203098061437734,7.185749563072633
18,7.301659208008552,6.200681511592002
19,6.348532582415255,5.185563251153116
20,5.312937453366979,4.09793853296981
21,4.2007863573767725,3.0448109201556512
22,3.285128054997481,2.1256559509300765
23,2.3721641345114604,1.715983280813701
24,2.103889321611185,2.1826005967805893
25,2.2949250383041626,3.0268903393993782
26,3.2586250107067998,4.068438330039337
27,4.1361227427338365,5.075495331891173
28,5.1278154928301145,6.072424515723374
29,6.143123572595297,7.0172776786037225
30,7.195279361042548,7.8869417330978235
31,8.05833046349646,8.652093604661056
32,8.8229450904307,9.29642938147325
33,9.432139893262226,9.747931407197715
34,9.924350735112602,10.050416577229342
35,10.25684484694343,10.173601321865428
36,10.375776665166088,10.086860333579926
37,10.257341588914874,9.768827934653729
38,9.916806591328282,9.342489890214265
39,9.45203971853963,8.74541589598552
40,8.871438331972437,7.985433509800404
41,8.184508891268326,7.140257266518151
42,7.293847697942526,6.236837059956842
43,6.402080912922836,5.192210307074701
44,5.394740746440019,4.140584561189007
45,4.336663276657361,3.1303376712331725
46,3.308385333233621,2.2836434321612322
47,2.6476704680690384,2.050338813767876
48,2.2120594098520625,2.384611607896279
