horizon,baseline_mae,model_mae
1,13.713872832369942,26.12072511885522
2,21.678260869565218,30.380387101362768
3,27.86705202312139,36.20851260169819
4,31.809248554913296,38.277121387122264
5,35.190751445086704,41.01226650865666
6,39.487031700288185,43.879837695809904
7,43.34971098265896,43.574358338876166
8,46.1849710982659,45.551965654896335
9,49.08670520231214,49.20796241345403
10,51.27246376811594,51.03237221654575
11,51.87755102040816,53.35805997703786
12,54.11337209302326,55.97669531810391
13,56.42028985507246,56.350408618751935
14,58.22740524781341,57.864384260679536
15,57.89504373177842,58.093361515984654
16,58.63690476190476,62.02647500883354
17,60.19174041297935,64.0745748474888
18,61.666666666666664,65.22688965148181
19,62.83673469387755,68.95299540768985
20,65.93604651162791,72.27076966843434
21,67.01453488372093,72.1615907886379
22,69.13081395348837,73.28454975614657
23,72.45797101449276,75.42857105990197
24,75.14285714285714,78.15920182820192
25,77.69970845481049,79.04458013694945
26,76.41228070175438,77.91716594105155
27,79.1865889212828,76.9941809120156
28,79.37900874635568,75.66975469841552
29,80.41107871720116,73.39035445536851
30,80.81104651162791,72.87263555976607
31,79.94169096209913,70.440213196748
32,80.54810495626822,70.44061729919216
33,80.95348837209302,72.05556437998553
34,81.03498542274052,72.54946420598435
35,83.10557184750733,75.72914069413031
36,84.57142857142857,77.79337185967103
37,84.49127906976744,76.66484908971597
38,83.87426900584795,76.26590668944357
39,85.20175438596492,78.48811332159212
40,86.51044776119403,79.47826572167789
41,86.32840236686391,78.40319261646208
42,88.2063953488372,77.30940179540231
43,88.65204678362574,78.6149920680913
44,91.33527696793003,80.77509366574841
45,91.83381924198251,79.59824269546232
46,94.10204081632654,81.25396905212182
47,96.98837209302326,82.67874441681201
48,100.56891495601172,83.48007369157223
