horizon,baseline_mae,model_mae
1,12.360580543574999,18.027376044536055
2,19.78924466871148,24.272334416048004
3,25.77591219041009,29.541796179447314
4,30.84942327543152,34.0652324754905
5,35.28078183981704,38.011185318235064
6,39.11982572355359,41.453872511533156
7,42.53385606043263,44.48359552042305
8,45.5149928682725,47.15160396763006
9,48.13365773101187,49.46648409097156
10,50.44151182950345,51.515976653462324
11,52.461679008549105,53.34558929524734
12,54.269947358894576,54.999503180305915
13,55.89287398187822,56.499062795953854
14,57.40554815266058,57.88573712323612
15,58.775546832688256,59.084484477284896
16,59.97764413323957,60.13347058610625
17,61.016645260349605,61.10803963628375
18,61.97743126843088,62.050604622784505
19,62.88096295263204,62.94546630332886
20,63.76886844178979,63.832329002916076
21,64.62462729254302,64.77561688190232
22,65.55886659280586,65.8015323597686
23,66.56129987719775,66.92864365917735
24,67.66351958842294,68.13950013390033
25,68.87625010721572,69.41852504924555
26,70.14948506066095,70.75597277778307
27,71.50151412490115,72.1322435146721
28,72.87644130740517,73.51145292299543
29,74.28243962859602,74.8564977320351
30,75.60575077905413,76.13284407784494
31,76.87160620787442,77.30688560818503
32,78.06069450361892,78.34172206268259
33,79.08518320326044,79.25191652025116
34,80.00029712483372,80.08865387102202
35,80.8277990868022,80.83147656096568
36,81.56147778853324,81.49107307406956
37,82.21238504083547,82.01958289744238
38,82.72515346116477,82.47478224657874
39,83.1661278418435,82.88711734687753
40,83.59273930826814,83.19825713338676
41,83.87993235147538,83.4372675571734
42,84.12575101687533,83.63232500147777
43,84.33756161000511,83.7781224808118
44,84.46766882811725,83.90078570891053
45,84.5885716310289,84.03732302632896
46,84.6958901025731,84.19944445180946
47,84.83931748776754,84.39323292438681
48,85.00929775794366,84.63148782550961
