horizon,skill
1,-0.45845706688159105
2,-0.22654173124781662
3,-0.14610090076417626
4,-0.10424211731115407
5,-0.07739067378990327
6,-0.05966403849734592
7,-0.04583970607367949
8,-0.03595762618472054
9,-0.027690111717833643
10,-0.021301201827388816
11,-0.01684868466665357
12,-0.0134430906406946
13,-0.0108455473996949
14,-0.008364852980735638
15,-0.00525622748310739
16,-0.002598075584971493
17,-0.0014978597322776732
18,-0.0011806451615703484
19,-0.0010258009366905796
20,-0.0009951652377870879
21,-0.002336409441493492
22,-0.0037014942383000182
23,-0.005518879328638926
24,-0.007034522418766231
25,-0.007873177491307892
26,-0.008645647456965166
27,-0.00882120326388014
28,-0.00871353765631433
29,-0.0077280459057254
30,-0.006971603262444281
31,-0.0056624210392264285
32,-0.0036001160488092765
33,-0.002108275030003881
34,-0.0011044552253403062
35,-4.5497640725367106e-05
36,0.0008632103828012383
37,0.002345171512751154
38,0.003026542763726159
39,0.00335485734644958
40,0.004719096157701275
41,0.005277362318881096
42,0.005865338608371906
43,0.006633332983709828
44,0.006711243805724854
45,0.006516821292413488
46,0.005861508157744333
47,0.005257993305345154
48,0.004444336589037867
