horizon,skill
1,-0.45233861929792507
2,-0.22354275463086193
3,-0.14401365377321684
4,-0.10259418065197479
5,-0.07608142029197151
6,-0.05856217871630065
7,-0.04485159092070323
8,-0.03489317720881946
9,-0.026794414912141074
10,-0.02057829160460556
11,-0.01627590355259212
12,-0.012763111325782228
13,-0.010138738529452462
14,-0.0075781186036429915
15,-0.004642160915216742
16,-0.001771341710011587
17,-0.0007694575438141893
18,-0.0005037870631767749
19,-0.0006070416586640981
20,-0.0008721900358441559
21,-0.0019656099599196786
22,-0.0032359700339339437
23,-0.005179789143856528
24,-0.006460307204954274
25,-0.007568237781283793
26,-0.008407034335243146
27,-0.008429287290592669
28,-0.008292586707204785
29,-0.0071869255653711495
30,-0.006016110000433672
31,-0.0047176436117790654
32,-0.0027354290769310285
33,-0.0010743776736070743
34,-1.7490345329385093e-05
35,0.0010669400682540298
36,0.0019309489522678636
37,0.003296689648019213
38,0.0038259379314945496
39,0.004372123278895468
40,0.005655696044471026
41,0.0060001867892989225
42,0.006713673539906262
43,0.007564336540994421
44,0.007307109025750935
45,0.006994980194048095
46,0.006362997666968684
47,0.005593792530141362
48,0.00477542308216794
