domain,model,horizon,n_origins,mae_model,mae_baseline,skill
pm25,extratrees,1,365,16.319068493150688,15.073972602739726,-0.08259905488913133
pm25,extratrees,2,365,27.36372602739726,23.71780821917808,-0.1537206884602056
pm25,extratrees,3,365,35.58909589041096,32.06849315068493,-0.10978385305425031
pm25,extratrees,4,365,42.25375342465754,37.394520547945206,-0.1299450509194815
pm25,extratrees,5,365,46.554575342465746,40.95890410958904,-0.13661672240802658
pm25,extratrees,6,365,51.891397260273976,46.605479452054794,-0.1134183763447183
pm25,extratrees,7,365,52.58164383561644,46.21917808219178,-0.13765856550088906
pm25,extratrees,8,365,53.965041095890406,49.18630136986302,-0.09715590709073685
pm25,extratrees,9,365,53.6345205479452,49.86027397260274,-0.07569646683883713
pm25,extratrees,10,365,55.56997260273973,51.42465753424658,-0.08060948321790096
pm25,extratrees,11,365,58.59797260273973,54.37534246575343,-0.07765707663626742
pm25,extratrees,12,365,60.2733698630137,59.14794520547945,-0.01902728241233964
pm25,extratrees,13,365,59.52871232876712,61.07671232876712,0.025345175615664184
pm25,extratrees,14,365,60.24641095890411,61.87397260273973,0.02630446333687575
pm25,extratrees,15,365,62.55495890410959,63.21917808219178,0.01050660888407362
pm25,extratrees,16,365,62.124273972602744,63.56986301369863,0.022740162909968498
pm25,extratrees,17,365,63.7507397260274,64.31506849315069,0.008774440894568802
pm25,extratrees,18,365,64.64657534246575,65.57534246575342,0.014163359097555839
pm25,extratrees,19,365,65.50564383561643,66.64383561643835,0.017078725590955912
pm25,extratrees,20,365,66.50997260273972,67.72054794520548,0.01787604175095081
pm25,extratrees,21,365,70.69616438356165,69.61643835616438,-0.015509641873278301
pm25,extratrees,22,365,73.25890410958904,73.07123287671233,-0.002568332645944915
pm25,extratrees,23,365,74.12043835616439,75.97534246575343,0.024414554109119746
pm25,extratrees,24,365,76.41435616438356,78.47123287671234,0.02621185671391668
pm25,extratrees,25,365,78.67950684931508,80.1917808219178,0.018858216604031308
pm25,extratrees,26,365,79.80471232876714,82.17534246575343,0.0288484363539373
pm25,extratrees,27,365,82.14761643835617,85.23287671232876,0.03619800707168108
pm25,extratrees,28,365,84.54328767123287,85.55890410958904,0.011870376893272194
pm25,extratrees,29,365,80.95101369863015,84.18904109589042,0.03846138826515666
pm25,extratrees,30,365,82.1372602739726,86.15068493150685,0.046586102719033184
pm25,extratrees,31,365,79.96893150684932,84.33698630136986,0.051792872689471414
pm25,extratrees,32,365,77.08378082191781,81.99178082191781,0.05985965850235575
pm25,extratrees,33,365,76.5933698630137,80.25753424657535,0.04565508295214038
pm25,extratrees,34,365,74.83835616438355,80.07945205479452,0.06544869821068122
pm25,extratrees,35,365,76.35901369863014,81.61917808219178,0.06444765197542879
pm25,extratrees,36,365,77.13446575342466,82.88493150684931,0.06937890457144735
pm25,extratrees,37,365,75.83676712328767,82.56712328767124,0.08151375385738469
pm25,extratrees,38,365,74.64509589041096,82.34794520547945,0.09354027348038729
pm25,extratrees,39,365,74.44745205479452,83.1041095890411,0.1041664194112023
pm25,extratrees,40,365,74.90608219178083,83.4876712328767,0.10278869819184189
pm25,extratrees,41,365,76.32767123287671,83.66575342465754,0.08770711899927963
pm25,extratrees,42,365,74.78460273972603,84.36712328767123,0.11358121712021829
pm25,extratrees,43,365,78.50745205479453,86.1972602739726,0.08921174750492655
pm25,extratrees,44,365,78.33528767123288,88.46849315068494,0.11454027437985825
pm25,extratrees,45,365,81.0410410958904,89.62191780821918,0.0957452922474934
pm25,extratrees,46,365,82.64756164383562,91.03561643835616,0.09214036354881416
pm25,extratrees,47,365,83.2196712328767,92.43013698630136,0.09964786436256934
pm25,extratrees,48,365,85.3718904109589,94.34794520547945,0.09513778784446969
pm25,knn,1,365,22.32164383561644,15.073972602739726,-0.48080697928026184
pm25,knn,2,365,31.853698630136986,23.71780821917808,-0.34302876285087214
pm25,knn,3,365,39.658630136986304,32.06849315068493,-0.2366851772746692
pm25,knn,4,365,47.584109589041105,37.394520547945206,-0.27248882702029475
pm25,knn,5,365,51.85589041095891,40.95890410958904,-0.26604682274247504
pm25,knn,6,365,56.80383561643836,46.605479452054794,-0.21882311445535252
pm25,knn,7,365,56.724383561643826,46.21917808219178,-0.22729104919976262
pm25,knn,8,365,60.09917808219177,49.18630136986302,-0.22186821144098445
pm25,knn,9,365,59.54849315068493,49.86027397260274,-0.1943073795263477
pm25,knn,10,365,60.050958904109585,51.42465753424658,-0.16774640383590822
pm25,knn,11,365,63.851506849315065,54.37534246575343,-0.17427318990275587
pm25,knn,12,365,67.41698630136986,59.14794520547945,-0.13980267728936036
pm25,knn,13,365,66.79068493150685,61.07671232876712,-0.09355403041313415
pm25,knn,14,365,66.01041095890412,61.87397260273973,-0.06685263903648608
pm25,knn,15,365,67.10684931506849,63.21917808219178,-0.06149512459371609
pm25,knn,16,365,67.86575342465754,63.56986301369863,-0.06757746843080636
pm25,knn,17,365,67.84054794520547,64.31506849315069,-0.0548157614483491
pm25,knn,18,365,68.94575342465754,65.57534246575342,-0.051397534990599736
pm25,knn,19,365,70.49917808219178,66.64383561643835,-0.05784994861253856
pm25,knn,20,365,72.78575342465753,67.72054794520548,-0.07479569544461517
pm25,knn,21,365,77.32657534246574,69.61643835616438,-0.1107516725698543
pm25,knn,22,365,80.86575342465754,73.07123287671233,-0.10667016609800917
pm25,knn,23,365,83.02520547945204,75.97534246575343,-0.09279146082002065
pm25,knn,24,365,85.2745205479452,78.47123287671234,-0.08669785629495141
pm25,knn,25,365,87.63835616438357,80.1917808219178,-0.09285958319098064
pm25,knn,26,365,87.58465753424657,82.17534246575343,-0.0658264986330599
pm25,knn,27,365,87.73808219178082,85.23287671232876,-0.029392478302796565
pm25,knn,28,365,88.04657534246576,85.55890410958904,-0.02907553876204827
pm25,knn,29,365,84.15342465753425,84.18904109589042,0.00042305314198320954
pm25,knn,30,365,86.06739726027396,86.15068493150685,0.0009667673716012848
pm25,knn,31,365,83.98410958904108,84.33698630136986,0.00418412760289788
pm25,knn,32,365,82.14520547945206,81.99178082191781,-0.0018712199685901876
pm25,knn,33,365,79.00328767123288,80.25753424657535,0.015627773605516482
pm25,knn,34,365,78.27835616438355,80.07945205479452,0.02249136131923779
pm25,knn,35,365,79.39780821917809,81.61917808219178,0.02721627337115229
pm25,knn,36,365,80.27890410958904,82.88493150684931,0.03144150993289929
pm25,knn,37,365,78.76273972602739,82.56712328767124,0.04607625178352204
pm25,knn,38,365,77.666301369863,82.34794520547945,0.05685198123565227
pm25,knn,39,365,78.67890410958904,83.1041095890411,0.05324893680150333
pm25,knn,40,365,77.24383561643836,83.4876712328767,0.07478751681816675
pm25,knn,41,365,78.26246575342466,83.66575342465754,0.06458183247101967
pm25,knn,42,365,78.14082191780822,84.36712328767123,0.07380009092680384
pm25,knn,43,365,79.04328767123287,86.1972602739726,0.08299535948127901
pm25,knn,44,365,80.04931506849314,88.46849315068494,0.09516583568176906
pm25,knn,45,365,80.99835616438357,89.62191780821918,0.09622157006603083
pm25,knn,46,365,81.40328767123287,91.03561643835616,0.10580835439990366
pm25,knn,47,365,82.66465753424657,92.43013698630136,0.10565254764798293
pm25,knn,48,365,84.07013698630138,94.34794520547945,0.10893515695327682
pm25,lightgbm,1,365,17.193481112702937,15.073972602739726,-0.14060716214768676
pm25,lightgbm,2,365,26.61655865966939,23.71780821917808,-0.12221831012814222
pm25,lightgbm,3,365,36.00378292028292,32.06849315068493,-0.12271514445991172
pm25,lightgbm,4,365,41.975743155311974,37.394520547945206,-0.12251053203083528
pm25,lightgbm,5,365,46.48712937061238,40.95890410958904,-0.13497004817883074
pm25,lightgbm,6,365,53.81866407724618,46.605479452054794,-0.15477117090087922
pm25,lightgbm,7,365,52.10174762247713,46.21917808219178,-0.12727551168963558
pm25,lightgbm,8,365,55.57660473351638,49.18630136986302,-0.12992038810970197
pm25,lightgbm,9,365,54.251774464638395,49.86027397260274,-0.08807614042491418
pm25,lightgbm,10,365,59.25566273236321,51.42465753424658,-0.15228113464638104
pm25,lightgbm,11,365,62.19821944051594,54.37534246575343,-0.1438680957216869
pm25,lightgbm,12,365,65.72170454530423,59.14794520547945,-0.11114095877697183
pm25,lightgbm,13,365,64.2841763143413,61.07671232876712,-0.05251533462228375
pm25,lightgbm,14,365,65.09022580448267,61.87397260273973,-0.05198071283369532
pm25,lightgbm,15,365,66.31896913018043,63.21917808219178,-0.049032447779668864
pm25,lightgbm,16,365,66.84582757954642,63.56986301369863,-0.05153329597614298
pm25,lightgbm,17,365,67.7172952825548,64.31506849315069,-0.052899372870394146
pm25,lightgbm,18,365,67.62356449244699,65.57534246575342,-0.031234637131529297
pm25,lightgbm,19,365,68.31862556988878,66.64383561643835,-0.025130455622174974
pm25,lightgbm,20,365,68.91731778842617,67.72054794520548,-0.017672181923114927
pm25,lightgbm,21,365,72.65339326999991,69.61643835616438,-0.04362410639708658
pm25,lightgbm,22,365,76.13807919730331,73.07123287671233,-0.04197063878428664
pm25,lightgbm,23,365,77.5409748379563,75.97534246575343,-0.02060711174692753
pm25,lightgbm,24,365,78.59782806318499,78.47123287671234,-0.0016132687334167173
pm25,lightgbm,25,365,81.75721615337191,80.1917808219178,-0.019521144379253563
pm25,lightgbm,26,365,82.97788063418291,82.17534246575343,-0.009766167616081844
pm25,lightgbm,27,365,86.99464391425109,85.23287671232876,-0.020670042709792558
pm25,lightgbm,28,365,87.70878760324364,85.55890410958904,-0.02512752490262038
pm25,lightgbm,29,365,85.53065191764405,84.18904109589042,-0.015935694293341074
pm25,lightgbm,30,365,85.60935337925316,86.15068493150685,0.0062835432206262976
pm25,lightgbm,31,365,83.54552380254628,84.33698630136986,0.009384524317662568
pm25,lightgbm,32,365,81.14948826851867,81.99178082191781,0.010272890098930398
pm25,lightgbm,33,365,78.47577741099069,80.25753424657535,0.022200493103993968
pm25,lightgbm,34,365,78.79389209296515,80.07945205479452,0.016053555922806773
pm25,lightgbm,35,365,79.540641771192,81.61917808219178,0.025466273489138325
pm25,lightgbm,36,365,79.5580549488088,82.88493150684931,0.040138496799814405
pm25,lightgbm,37,365,77.29195358072955,82.56712328767124,0.0638894695236325
pm25,lightgbm,38,365,76.34036071592173,82.34794520547945,0.0729536659909028
pm25,lightgbm,39,365,77.86123473876341,83.1041095890411,0.06308803350645686
pm25,lightgbm,40,365,75.70605205135088,83.4876712328767,0.09320680606625298
pm25,lightgbm,41,365,75.70254498208094,83.66575342465754,0.09517882905037856
pm25,lightgbm,42,365,77.22332190360231,84.36712328767123,0.08467518039829691
pm25,lightgbm,43,365,78.8945485193651,86.1972602739726,0.08472092652824792
pm25,lightgbm,44,365,80.24346677350769,88.46849315068494,0.0929712498117028
pm25,lightgbm,45,365,82.37511427633729,89.62191780821918,0.08085972392812701
pm25,lightgbm,46,365,84.79257428925392,91.03561643835616,0.06857801806976993
pm25,lightgbm,47,365,86.60451577742408,92.43013698630136,0.06302729173430377
pm25,lightgbm,48,365,86.89464546160725,94.34794520547945,0.07899800814569646
pm25,mlp,1,365,19.104838971839687,15.073972602739726,-0.2674057115088124
pm25,mlp,2,365,30.185434061316005,23.71780821917808,-0.2726907049070513
pm25,mlp,3,365,39.63954876240772,32.06849315068493,-0.23609015790506782
pm25,mlp,4,365,45.63244295823562,37.394520547945206,-0.2202975807572718
pm25,mlp,5,365,47.27008094572017,40.95890410958904,-0.15408558830688035
pm25,mlp,6,365,52.06814302069979,46.605479452054794,-0.1172107578952104
pm25,mlp,7,365,51.25334390589809,46.21917808219178,-0.10891941468007138
pm25,mlp,8,365,54.05594338096068,49.18630136986302,-0.0990040290787415
pm25,mlp,9,365,51.047843902987154,49.86027397260274,-0.023817958381796345
pm25,mlp,10,365,52.622717725848666,51.42465753424658,-0.02329738784948132
pm25,mlp,11,365,55.69217203616827,54.37534246575343,-0.024217402791425258
pm25,mlp,12,365,60.84088499804042,59.14794520547945,-0.028622123502003438
pm25,mlp,13,365,59.119632121900544,61.07671232876712,0.032042985489001086
pm25,mlp,14,365,57.749372575751835,61.87397260273973,0.06666130932742564
pm25,mlp,15,365,60.308028637889485,63.21917808219178,0.04604851775386076
pm25,mlp,16,365,59.56701084946428,63.56986301369863,0.06296776451086228
pm25,mlp,17,365,62.551533381246486,64.31506849315069,0.027420247746327342
pm25,mlp,18,365,63.62685797307836,65.57534246575342,0.029713676199139227
pm25,mlp,19,365,62.615853825484905,66.64383561643835,0.06044042564020591
pm25,mlp,20,365,64.2570371738896,67.72054794520548,0.051144163424641786
pm25,mlp,21,365,68.627479517709,69.61643835616438,0.014205823535466844
pm25,mlp,22,365,70.74158105497348,73.07123287671233,0.03188192849666982
pm25,mlp,23,365,73.35897244365248,75.97534246575343,0.03443709415696683
pm25,mlp,24,365,75.32877084502307,78.47123287671234,0.040046038739144696
pm25,mlp,25,365,78.28672447679834,80.1917808219178,0.023756254389087905
pm25,mlp,26,365,78.82892378589722,82.17534246575343,0.04072290518595445
pm25,mlp,27,365,82.21867534166878,85.23287671232876,0.03536430409163904
pm25,mlp,28,365,83.76374268227015,85.55890410958904,0.02098158509626935
pm25,mlp,29,365,79.25586846920018,84.18904109589042,0.05859637504448356
pm25,mlp,30,365,80.41285374326607,86.15068493150685,0.06660227011314623
pm25,mlp,31,365,78.20301538075208,84.33698630136986,0.07273168261785701
pm25,mlp,32,365,75.76478379703462,81.99178082191781,0.07594660053070357
pm25,mlp,33,365,71.42990069369449,80.25753424657535,0.10999133770743197
pm25,mlp,34,365,71.38740143649538,80.07945205479452,0.10854283333946368
pm25,mlp,35,365,72.54869314003548,81.61917808219178,0.11113178489768882
pm25,mlp,36,365,72.79036986002085,82.88493150684931,0.12179007044234924
pm25,mlp,37,365,70.94955735760794,82.56712328767124,0.140704501591834
pm25,mlp,38,365,70.57754203884855,82.34794520547945,0.14293499536947396
pm25,mlp,39,365,69.22144111133312,83.1041095890411,0.16705152785294608
pm25,mlp,40,365,70.07062049433279,83.4876712328767,0.16070697074684248
pm25,mlp,41,365,70.77553259472451,83.66575342465754,0.1540680661119116
pm25,mlp,42,365,71.72007628901567,84.36712328767123,0.14990492155969615
pm25,mlp,43,365,72.62627995862546,86.1972602739726,0.1574409705391172
pm25,mlp,44,365,72.83269064563,88.46849315068494,0.1767386551777601
pm25,mlp,45,365,74.7367354008482,89.62191780821918,0.16608863960291043
pm25,mlp,46,365,74.96606881925815,91.03561643835616,0.17651934756743626
pm25,mlp,47,365,76.96303959453601,92.43013698630136,0.16733825022955073
pm25,mlp,48,365,76.65270531331164,94.34794520547945,0.18755299708572903
pm25,ridge,1,365,15.587293854610358,15.073972602739726,-0.03405348181257373
pm25,ridge,2,365,24.747886119994963,23.71780821917808,-0.043430568764948774
pm25,ridge,3,365,33.12403912709732,32.06849315068493,-0.032915359366981756
pm25,ridge,4,365,38.95989358551561,37.394520547945206,-0.04186102708720041
pm25,ridge,5,365,42.4649326076819,40.95890410958904,-0.03676925764574546
pm25,ridge,6,365,48.37977110027738,46.605479452054794,-0.03807045156670652
pm25,ridge,7,365,47.22520847453021,46.21917808219178,-0.021766514119948344
pm25,ridge,8,365,49.50256070886942,49.18630136986302,-0.0064298255855474995
pm25,ridge,9,365,48.34109895309174,49.86027397260274,0.030468645646547388
pm25,ridge,10,365,50.039857727083536,51.42465753424658,0.026928712286335088
pm25,ridge,11,365,52.63002817104743,54.37534246575343,0.03209753199817045
pm25,ridge,12,365,56.16708465767528,59.14794520547945,0.05039668812582898
pm25,ridge,13,365,56.01346032496728,61.07671232876712,0.08289987805082066
pm25,ridge,14,365,56.18297071968277,61.87397260273973,0.09197731523714969
pm25,ridge,15,365,57.54155269398146,63.21917808219178,0.08980859227288274
pm25,ridge,16,365,57.27958216276402,63.56986301369863,0.09895067493820331
pm25,ridge,17,365,58.273888906396266,64.31506849315069,0.09393101380896118
pm25,ridge,18,365,58.93554114616115,65.57534246575342,0.10125454278885226
pm25,ridge,19,365,61.27696523730055,66.64383561643835,0.08053063467154353
pm25,ridge,20,365,62.96524094338691,67.72054794520548,0.07021955885038345
pm25,ridge,21,365,65.39643927811235,69.61643835616438,0.060617853738252236
pm25,ridge,22,365,67.54242746250216,73.07123287671233,0.07566322883231646
pm25,ridge,23,365,70.09116326031237,75.97534246575343,0.07744853809765195
pm25,ridge,24,365,71.52397235601303,78.47123287671234,0.08853257768505152
pm25,ridge,25,365,73.13248211948836,80.1917808219178,0.08803020247306959
pm25,ridge,26,365,74.11558158051824,82.17534246575343,0.09808004011171723
pm25,ridge,27,365,76.64956439096815,85.23287671232876,0.10070424292178148
pm25,ridge,28,365,78.01903173443272,85.55890410958904,0.0881249292943116
pm25,ridge,29,365,76.05043753120584,84.18904109589042,0.09667058157147546
pm25,ridge,30,365,77.6025628984681,86.15068493150685,0.09922291436028441
pm25,ridge,31,365,75.0511701964946,84.33698630136986,0.11010372212843034
pm25,ridge,32,365,73.62882132995539,81.99178082191781,0.10199753448612581
pm25,ridge,33,365,70.9482162222492,80.25753424657535,0.11599307294596306
pm25,ridge,34,365,69.93759804061375,80.07945205479452,0.12664739522994217
pm25,ridge,35,365,70.71339953682573,81.61917808219178,0.13361784327678183
pm25,ridge,36,365,69.9931273420804,82.88493150684931,0.15553857535254867
pm25,ridge,37,365,68.35414484329566,82.56712328767124,0.17213847205087052
pm25,ridge,38,365,67.9571228954468,82.34794520547945,0.17475630113324403
pm25,ridge,39,365,68.06056186484115,83.1041095890411,0.18102050306046158
pm25,ridge,40,365,67.54272448342559,83.4876712328767,0.19098564511369598
pm25,ridge,41,365,69.07759828787083,83.66575342465754,0.17436232316874545
pm25,ridge,42,365,69.7757734175366,84.36712328767123,0.17295066255111846
pm25,ridge,43,365,71.51428153227222,86.1972602739726,0.17034159432714513
pm25,ridge,44,365,72.28109548761397,88.46849315068494,0.18297358852376522
pm25,ridge,45,365,74.01024446835162,89.62191780821918,0.1741948144121931
pm25,ridge,46,365,74.57701920853219,91.03561643835616,0.18079294537395418
pm25,ridge,47,365,75.77833066794392,92.43013698630136,0.18015559493139488
pm25,ridge,48,365,76.19315284576605,94.34794520547945,0.19242382354140575
