horizon,baseline_mae,model_mae
1,15.529595015576325,27.952263529649777
2,22.51498127340824,33.5571463301536
3,29.522741433021807,39.009366006940326
4,34.70218068535826,42.731668568548756
5,39.2852684144819,44.84705124306173
6,43.14865708931917,46.8292249695053
7,46.981863664790495,48.39895536722132
8,49.459273182957396,49.44466528139616
9,52.64035087719298,52.24786823853514
10,55.67967275015733,54.677016531318294
11,57.0,56.97224319185012
12,58.64321926489227,57.854673052015414
13,60.43207547169811,58.639674726522195
14,62.274224192526916,60.17113237097114
15,63.99175649968294,60.6896709594533
16,65.20293554562859,62.74851442311475
17,66.14367450731088,63.41912383269294
18,66.4933586337761,64.33505636766543
19,67.45425667090215,65.56397896406763
20,69.52544529262086,68.62029915486886
21,72.16666666666667,70.98124003835004
22,74.76320814767664,73.42965155540189
23,76.779262086514,75.16547005170477
24,79.35954343690551,77.83247319489396
25,81.86840432294977,79.45585936796718
26,80.10630171865054,78.16781212462504
27,80.76698412698413,77.59207343389117
28,80.78412698412698,75.27881999908932
29,80.60292249047014,73.532684005049
30,80.79171974522293,72.87052828855575
31,80.90833863781032,71.58051817679693
32,80.92611464968152,70.62877033379428
33,81.2859872611465,71.21384287791646
34,83.77671145233525,72.36958612819093
35,85.61751448808758,74.38551453383447
36,86.3650998068255,74.22508813792939
37,86.8984674329502,73.53066388979117
38,86.66645244215938,73.70067445355393
39,87.298459563543,74.38832109363149
40,88.03359173126616,75.61977911919587
41,88.1184803605924,75.50604447685974
42,89.47564102564102,75.85650194119185
43,90.47259832366215,77.29492831307023
44,92.9406068431246,79.43210153351913
45,94.33462532299741,80.7084515667701
46,95.58241758241758,82.52320328634173
47,97.23594053005817,83.32431544036965
48,98.5941935483871,84.58728510210591
