horizon,n_common,model_mae,baseline_mae,skill,domain,baseline
1,301,542895.3005538906,550905.9950632423,0.01454094633410552,load,persistence
1,301,542895.3005538906,1186201.4526139637,0.5423245357206876,load,seasonal_persistence
1,344,18.9421396584582,13.718023255813954,-0.38082136946590817,pm25,persistence
2,342,25.29634180000759,21.669590643274855,-0.16736592843106135,pm25,persistence
3,344,32.60556256954872,27.851744186046513,-0.17068296878454836,pm25,persistence
4,344,35.837116536638185,31.848837209302324,-0.12522527278235995,pm25,persistence
5,344,38.136729192724985,35.241279069767444,-0.0821607557780577,pm25,persistence
6,346,40.77462145713737,39.60115606936416,-0.029632099267955958,pm25,persistence
7,344,41.70843807776236,43.491279069767444,0.040993068728677806,pm25,persistence
8,345,44.07836237956549,46.278260869565216,0.047536325883120734,pm25,persistence
9,345,47.55502836571605,48.768115942028984,0.0248746040908151,pm25,persistence
10,343,50.094609412823,50.80174927113703,0.013919596637114062,pm25,persistence
11,341,51.293755888865995,50.988269794721404,-0.005991301438045937,pm25,persistence
12,344,54.28522068996502,54.11337209302326,-0.003175714066503632,pm25,persistence
13,344,54.98333491239081,56.508720930232556,0.026993816046996244,pm25,persistence
14,340,56.92985396424946,58.205882352941174,0.021922670649579756,pm25,persistence
15,340,58.28882265377205,57.98823529411764,-0.005183592122260938,pm25,persistence
16,328,59.253307114270285,59.140243902439025,-0.0019117812908884257,pm25,persistence
17,332,62.53492470612897,60.51807228915663,-0.03332644845883026,pm25,persistence
18,345,64.56816423991373,61.666666666666664,-0.04705131199860113,pm25,persistence
19,341,69.02509373252673,63.146627565982406,-0.09309232168260873,pm25,persistence
20,343,72.38611258419299,66.08454810495627,-0.09535609548586899,pm25,persistence
21,344,72.14273201337484,67.01453488372093,-0.07652365473478273,pm25,persistence
22,344,73.3727697995038,69.13081395348837,-0.061361288887317844,pm25,persistence
23,345,75.12166473881899,72.45797101449276,-0.03676191434885001,pm25,persistence
24,343,78.18476749254508,75.14285714285714,-0.04048169666885082,pm25,persistence
25,341,78.92974762156234,77.00293255131965,-0.025022619352302433,pm25,persistence
26,339,76.76351444247483,75.71386430678466,-0.013863380839169714,pm25,persistence
27,341,76.56680839871599,78.57184750733138,0.02551854350158056,pm25,persistence
28,341,75.7261132459972,78.95601173020528,0.04090756882762425,pm25,persistence
29,341,72.75908617097745,79.95014662756599,0.08994430604470116,pm25,persistence
30,343,72.81149540947422,80.1603498542274,0.09167692578833764,pm25,persistence
31,341,69.75334480782291,79.3900293255132,0.12138406547474834,pm25,persistence
32,342,69.51840618239667,79.90643274853801,0.13000238164594324,pm25,persistence
33,343,71.60084883338095,80.32069970845481,0.10856293466970357,pm25,persistence
34,341,72.17651800974885,80.51026392961877,0.1035115960761872,pm25,persistence
35,339,75.58634488060223,82.37463126843657,0.08240748739394244,pm25,persistence
36,343,77.24974150915041,84.57142857142857,0.08657400242558633,pm25,persistence
37,343,75.99099808434627,84.69679300291546,0.1027877751908447,pm25,persistence
38,339,76.30053786492067,83.84365781710915,0.08996649416992908,pm25,persistence
39,339,77.63076212199323,85.53687315634218,0.09242927339532692,pm25,persistence
40,328,79.17840572974355,86.47560975609755,0.08438453393894074,pm25,persistence
41,332,75.74917336470102,85.36144578313252,0.11260671993363647,pm25,persistence
42,344,77.4993780101354,88.2063953488372,0.12138595275725605,pm25,persistence
