domain,baseline,horizon,n_a,n_b,n_common,dropped_a,dropped_b,verified
load,persistence,1,301,301,301,0,0,True
load,seasonal_persistence,1,301,301,301,0,0,True
pm25,persistence,1,344,344,344,0,0,True
pm25,persistence,2,342,342,342,0,0,True
pm25,persistence,3,344,344,344,0,0,True
pm25,persistence,4,344,344,344,0,0,True
pm25,persistence,5,344,344,344,0,0,True
pm25,persistence,6,346,346,346,0,0,True
pm25,persistence,7,344,344,344,0,0,True
pm25,persistence,8,345,345,345,0,0,True
pm25,persistence,9,345,345,345,0,0,True
pm25,persistence,10,343,343,343,0,0,True
pm25,persistence,11,341,341,341,0,0,True
pm25,persistence,12,344,344,344,0,0,True
pm25,persistence,13,344,344,344,0,0,True
pm25,persistence,14,340,340,340,0,0,True
pm25,persistence,15,340,340,340,0,0,True
pm25,persistence,16,328,328,328,0,0,True
pm25,persistence,17,332,332,332,0,0,True
pm25,persistence,18,345,345,345,0,0,True
pm25,persistence,19,341,341,341,0,0,True
pm25,persistence,20,343,343,343,0,0,True
pm25,persistence,21,344,344,344,0,0,True
pm25,persistence,22,344,344,344,0,0,True
pm25,persistence,23,345,345,345,0,0,True
pm25,persistence,24,343,343,343,0,0,True
pm25,persistence,25,341,341,341,0,0,True
pm25,persistence,26,339,339,339,0,0,True
pm25,persistence,27,341,341,341,0,0,True
pm25,persistence,28,341,341,341,0,0,True
pm25,persistence,29,341,341,341,0,0,True
pm25,persistence,30,343,343,343,0,0,True
pm25,persistence,31,341,341,341,0,0,True
pm25,persistence,32,342,342,342,0,0,True
pm25,persistence,33,343,343,343,0,0,True
pm25,persistence,34,341,341,341,0,0,True
pm25,persistence,35,339,339,339,0,0,True
pm25,persistence,36,343,343,343,0,0,True
pm25,persistence,37,343,343,343,0,0,True
pm25,persistence,38,339,339,339,0,0,True
pm25,persistence,39,339,339,339,0,0,True
pm25,persistence,40,328,328,328,0,0,True
pm25,persistence,41,332,332,332,0,0,True
pm25,persistence,42,344,344,344,0,0,True
pm25,persistence,43,340,340,340,0,0,True
pm25,persistence,44,342,342,342,0,0,True
pm25,persistence,45,343,343,343,0,0,True
pm25,persistence,46,343,343,343,0,0,True
pm25,persistence,47,344,344,344,0,0,True
pm25,persistence,48,341,341,341,0,0,True
pm25,seasonal_persistence,1,344,344,344,0,0,True
pm25,seasonal_persistence,2,342,342,342,0,0,True
pm25,seasonal_persistence,3,344,344,344,0,0,True
pm25,seasonal_persistence,4,344,344,344,0,0,True
pm25,seasonal_persistence,5,344,344,344,0,0,True
pm25,seasonal_persistence,6,346,346,346,0,0,True
pm25,seasonal_persistence,7,344,344,344,0,0,True
pm25,seasonal_persistence,8,345,345,345,0,0,True
pm25,seasonal_persistence,9,345,345,345,0,0,True
pm25,seasonal_persistence,10,343,343,343,0,0,True
pm25,seasonal_persistence,11,341,341,341,0,0,True
pm25,seasonal_persistence,12,344,344,344,0,0,True
pm25,seasonal_persistence,13,344,344,344,0,0,True
pm25,seasonal_persistence,14,340,340,340,0,0,True
pm25,seasonal_persistence,15,340,340,340,0,0,True
pm25,seasonal_persistence,16,328,328,328,0,0,True
pm25,seasonal_persistence,17,332,332,332,0,0,True
pm25,seasonal_persistence,18,345,345,345,0,0,True
pm25,seasonal_persistence,19,341,341,341,0,0,True
pm25,seasonal_persistence,20,343,343,343,0,0,True
pm25,seasonal_persistence,21,344,344,344,0,0,True
pm25,seasonal_persistence,22,344,344,344,0,0,True
pm25,seasonal_persistence,23,345,345,345,0,0,True
pm25,seasonal_persistence,24,343,343,343,0,0,True
pm25,seasonal_persistence,25,341,341,341,0,0,True
pm25,seasonal_persistence,26,339,339,339,0,0,True
pm25,seasonal_persistence,27,341,341,341,0,0,True
pm25,seasonal_persistence,28,341,341,341,0,0,True
pm25,seasonal_persistence,29,341,341,341,0,0,True
pm25,seasonal_persistence,30,343,343,343,0,0,True
pm25,seasonal_persistence,31,341,341,341,0,0,True
pm25,seasonal_persistence,32,342,342,342,0,0,True
pm25,seasonal_persistence,33,343,343,343,0,0,True
pm25,seasonal_persistence,34,341,341,341,0,0,True
pm25,seasonal_persistence,35,339,339,339,0,0,True
pm25,seasonal_persistence,36,343,343,343,0,0,True
pm25,seasonal_persistence,37,343,343,343,0,0,True
pm25,seasonal_persistence,38,339,339,339,0,0,True
pm25,seasonal_persistence,39,339,339,339,0,0,True
