horizon,baseline_mae,model_mae
1,4.223661020478151,5.113567964799462
2,5.6688688026650995,6.683568752795516
3,6.849296063590044,7.5729124952721785
4,7.281325017146776,8.962958578082773
5,7.157900683421519,12.044084744586948
6,8.668059842249658,14.678894726622751
7,9.00607638888889,15.522034071747147
8,9.292511145404664,16.150419569420386
9,9.187740667254557,15.436057831329709
10,10.073172031158142,14.975663717377165
11,10.311834950029395,14.168349300657436
12,10.609802750832845,14.104678313606643
13,11.05689729080933,15.05315259493846
14,11.129831104252402,14.407715409978369
15,13.919066296786204,16.359479273889253
16,18.376761831275715,18.841163156323667
17,27.524155827454436,26.510389421253965
18,27.051818783068782,28.22830589299123
19,14.098082319636058,15.296815729946967
20,12.39026448845374,16.294590129636184
21,12.710170041536866,15.825567402408657
22,12.674263524205115,16.009701383268254
23,10.811256057459328,14.588164677723972
24,12.073427984925624,13.84092547629512
25,12.19145546321254,13.703385601900811
26,12.708619721473495,12.653532823712792
27,13.463348869421981,12.177772842947636
28,12.915230982330037,12.65742185006398
29,12.84088736647699,15.16241189280535
30,13.611402178796046,17.431944092828164
31,14.331193221523408,17.621116858387538
32,15.589434211839874,18.179861207657368
33,14.92718877907557,17.025093183452125
34,14.596351826894283,15.813288093324495
35,14.559377495757213,14.888264643880543
36,15.253750499151444,14.604519178710742
37,15.35036562843167,15.587313316663831
38,14.953542727363484,14.85876986358951
39,18.462429806828393,16.62964784334586
40,22.117246930218624,19.16416376112541
41,30.37149970050913,26.813203548753386
42,30.61288611740993,28.380787528971045
43,17.31993291761149,15.67517707809167
44,14.083936759889141,16.567996619529175
45,14.156070798689846,16.05108693574139
46,14.77942901234568,16.269600278415748
47,13.854651990425802,14.854259619305978
48,15.592876221001221,14.116590203061465
49,14.372378345034596,13.966533554879838
50,14.613007478632479,12.924257481649184
51,14.078552350427353,12.381865881585849
52,13.943274636243386,12.931853481177397
53,13.816735983923483,15.442683031180934
54,15.090669515669516,17.731350057331102
55,15.36242018976394,17.862857396088852
56,16.19751856939357,18.345981002069134
57,15.952164415445667,17.249541702020732
58,15.664724193630445,15.984234402641844
59,14.36022683913309,15.118788528348913
60,14.434915865384616,14.757736475297223
61,15.387524801587302,15.792083810621325
62,15.116994174806676,15.098751537540682
63,17.610064356939354,16.37533424478084
64,21.19070226648352,19.07359339138513
65,28.45803317053317,26.669663724224243
66,29.931597703806442,28.34356542126509
67,19.029611329429294,15.743865688797444
68,15.26348307391997,16.752473271751885
69,14.745937034468588,16.240771698026588
70,14.838321582678379,16.4547438033043
71,15.160592926490988,15.005715640862803
72,15.287932163606186,14.225397914132829
