horizon,skill
1,-0.21069563584924422
2,-0.17899513738144313
3,-0.10564829216958271
4,-0.23095158600610755
5,-0.6826280884956069
6,-0.6934463990517485
7,-0.7235068193400205
8,-0.7380037878573973
9,-0.6800711285141494
10,-0.4866879738631218
11,-0.3739891463853431
12,-0.3294006160952858
13,-0.36142646522102373
14,-0.29451339153507705
15,-0.1753287846374092
16,-0.025271118454480934
17,0.03683188006039673
18,-0.0434901297896757
19,-0.08502811823146272
20,-0.31511237268750913
21,-0.24511059652944578
22,-0.2631662070694025
23,-0.3493496592987204
24,-0.1463956627377343
25,-0.12401555689970634
26,0.004334609026629632
27,0.0954870915804723
28,0.019961635422454216
29,-0.18079159641171216
30,-0.2806868729500762
31,-0.2295638322650715
32,-0.16616555550490175
33,-0.14054249835155352
34,-0.0833726317961152
35,-0.022589368825636447
36,0.04256207812477453
37,-0.015435963804881103
38,0.006337820107374936
39,0.09927089677029788
40,0.1335194736673324
41,0.11715905328494847
42,0.07291369326884412
43,0.09496317608986671
44,-0.17637539148248682
45,-0.13386596916617077
46,-0.10082739088399717
47,-0.0721496021387582
48,0.09467695356623329
49,0.02823783095683463
50,0.11556484860851746
51,0.12051569128767714
52,0.07253827966903525
53,-0.11767953365753892
54,-0.17498763318086152
55,-0.16276323492251343
56,-0.13264145513839676
57,-0.08132923237168255
58,-0.020396797611113904
59,-0.05282379573201901
60,-0.02236387194238798
61,-0.026291363572150894
62,0.001206763530834487
63,0.07011502554060567
64,0.09990744282443786
65,0.06284234175960868
66,0.05305537974471042
67,0.17266488441361094
68,-0.09755245186310635
69,-0.10137264658487477
70,-0.10893565095076951
71,0.010215780238882255
72,0.06950150210652961
