horizon,baseline_mae,model_mae
1,4.223661020478151,6.060889666828832
2,5.6688688026650995,6.840490656593418
3,6.849296063590044,6.981698112269459
4,7.281325017146776,8.513540691913692
5,7.157900683421519,9.054891860559861
6,8.668059842249658,10.796580950652443
7,9.00607638888889,10.819837562412276
8,9.292511145404664,11.320531324711954
9,9.187740667254557,11.013348791786688
10,10.073172031158142,10.97964985933081
11,10.311834950029395,11.461112378521243
12,10.609802750832845,11.39591125764458
13,11.05689729080933,11.835821922841447
14,11.129831104252402,12.217153882420394
15,13.919066296786204,15.31441525684826
16,18.376761831275715,18.43542505231914
17,27.524155827454436,21.620216870311683
18,27.051818783068782,22.08747144260068
19,14.098082319636058,15.804468929067816
20,12.39026448845374,12.86249270016886
21,12.710170041536866,12.163908415891939
22,12.674263524205115,11.990688079950631
23,10.811256057459328,11.133494438943961
24,12.073427984925624,11.745058555957481
25,12.19145546321254,11.900442287470737
26,12.708619721473495,11.947997637954547
27,13.463348869421981,11.699840964208573
28,12.915230982330037,11.720964461048816
29,12.84088736647699,13.536518572909268
30,13.611402178796046,15.391471230292074
31,14.331193221523408,15.20550066685009
32,15.589434211839874,16.079274606028555
33,14.92718877907557,15.071606933583489
34,14.596351826894283,14.426257945033784
35,14.559377495757213,13.741101433608891
36,15.253750499151444,13.887722937611276
37,15.35036562843167,14.908240680964274
38,14.953542727363484,15.041408957653628
39,18.462429806828393,18.08446255130259
40,22.117246930218624,21.21787606147508
41,30.37149970050913,25.53869964222394
42,30.61288611740993,25.98513891012118
43,17.31993291761149,18.900419993736087
44,14.083936759889141,15.215948356186466
45,14.156070798689846,14.345623774604016
46,14.77942901234568,14.336693328624177
47,13.854651990425802,13.512876217941061
48,15.592876221001221,14.00143320937619
49,14.372378345034596,14.109785429192211
50,14.613007478632479,13.554541241126891
51,14.078552350427353,12.499676754906078
52,13.943274636243386,12.967240914476358
53,13.816735983923483,14.580034683551096
54,15.090669515669516,16.097470224778462
55,15.36242018976394,16.424838372981824
56,16.19751856939357,15.94998734336543
57,15.952164415445667,16.203013217898445
58,15.664724193630445,14.160905244437533
59,14.36022683913309,12.751565945253823
60,14.434915865384616,14.234281396893099
61,15.387524801587302,15.886138984203738
62,15.116994174806676,15.424419569435326
63,17.610064356939354,17.82578146669211
64,21.19070226648352,20.067685154358603
65,28.45803317053317,25.844105628824465
66,29.931597703806442,27.615209289023245
67,19.029611329429294,17.290850970349382
68,15.26348307391997,15.820276621707686
69,14.745937034468588,14.157453204030107
70,14.838321582678379,14.822258616902065
71,15.160592926490988,13.35111291148687
72,15.287932163606186,13.660269893981052
