horizon,baseline_mae,model_mae
1,4.223661020478151,4.712852325429487
2,5.6688688026650995,6.033833549709321
3,6.849296063590044,7.427413204650859
4,7.281325017146776,7.796526348879746
5,7.157900683421519,6.7222103827813715
6,8.668059842249658,7.506162735155793
7,9.00607638888889,7.885140889346137
8,9.292511145404664,8.37062195848847
9,9.187740667254557,8.539023307368213
10,10.073172031158142,9.520335974753415
11,10.311834950029395,9.848172133222286
12,10.609802750832845,9.853827813704356
13,11.05689729080933,9.166650438467567
14,11.129831104252402,9.942685981285516
15,13.919066296786204,12.510212538376118
16,18.376761831275715,17.366998273074664
17,27.524155827454436,27.922707843425442
18,27.051818783068782,28.519992809342497
19,14.098082319636058,13.140953060871285
20,12.39026448845374,10.381538656480245
21,12.710170041536866,10.969257054673722
22,12.674263524205115,10.979799300301636
23,10.811256057459328,9.19369251594719
24,12.073427984925624,11.328590874679712
25,12.19145546321254,11.189687635186852
26,12.708619721473495,11.870320871185651
27,13.463348869421981,12.927425980000665
28,12.915230982330037,12.17258410701807
29,12.84088736647699,11.390854713653457
30,13.611402178796046,12.35354553509035
31,14.331193221523408,12.586094888689228
32,15.589434211839874,13.923712189278225
33,14.92718877907557,12.951114355595488
34,14.596351826894283,12.227253044823797
35,14.559377495757213,12.577305975674685
36,15.253750499151444,13.892535814116004
37,15.35036562843167,13.731274333632824
38,14.953542727363484,12.922966997770457
39,18.462429806828393,17.457360507969785
40,22.117246930218624,21.689122866127587
41,30.37149970050913,29.848784150277858
42,30.61288611740993,30.313955341395815
43,17.31993291761149,15.643801755270012
44,14.083936759889141,11.973201583102378
45,14.156070798689846,12.58725865037373
46,14.77942901234568,13.26446649029982
47,13.854651990425802,12.60840912908373
48,15.592876221001221,14.191962695868947
49,14.372378345034596,12.870186584249085
50,14.613007478632479,13.319077402150317
51,14.078552350427353,13.044036278150863
52,13.943274636243386,13.190895909645908
53,13.816735983923483,12.54789705857414
54,15.090669515669516,13.193106112637365
55,15.36242018976394,13.602297008547007
56,16.19751856939357,14.319878260242843
57,15.952164415445667,13.9601145960521
58,15.664724193630445,13.787299255528422
59,14.36022683913309,12.804806632410799
60,14.434915865384616,13.00928257699091
61,15.387524801587302,14.034144260446343
62,15.116994174806676,13.335443906016822
63,17.610064356939354,16.142291263905847
64,21.19070226648352,19.82819686100936
65,28.45803317053317,28.23143813169855
66,29.931597703806442,29.40582770414891
67,19.029611329429294,17.707627651923765
68,15.26348307391997,13.185354381774285
69,14.745937034468588,12.879273685382103
70,14.838321582678379,12.968261031489188
71,15.160592926490988,13.535759768668342
72,15.287932163606186,14.452057397032886
