domain,model,horizon,n_origins,mae_model,mae_baseline,skill
traffic,extratrees,1,105,5.565465337616527,3.8643137440161253,-0.44022087912365526
traffic,extratrees,2,105,6.417575554295791,5.316487780297304,-0.2071081171443816
traffic,extratrees,3,105,7.154269406651547,6.526265432098764,-0.09622715794917114
traffic,extratrees,4,105,8.144267850844042,7.002453388762913,-0.16305920206672697
traffic,extratrees,5,105,10.230077047115143,6.897313869992441,-0.4831972619982212
traffic,extratrees,6,105,11.367197442680773,8.389132968002016,-0.3549907345655081
traffic,extratrees,7,105,11.77783142479214,8.69239417989418,-0.3549582751360594
traffic,extratrees,8,105,13.030999256739733,9.012471025447216,-0.44588528716996456
traffic,extratrees,9,105,11.480714858906525,8.96794249181154,-0.280194968844788
traffic,extratrees,10,105,12.196249168556314,9.904046674225246,-0.2314410028272993
traffic,extratrees,11,105,12.952631046863187,10.154884101788864,-0.2755075210145901
traffic,extratrees,12,105,12.421287528344669,10.430003464348703,-0.1909188305452123
traffic,extratrees,13,105,12.076399055177626,10.888853300579493,-0.10906068084643339
traffic,extratrees,14,105,12.417476681783823,10.919876858150669,-0.13714438753174552
traffic,extratrees,15,105,15.671753502141598,13.727793209876541,-0.1416076322351989
traffic,extratrees,16,105,19.709302179390274,18.38518172083648,-0.07202106993879354
traffic,extratrees,17,105,21.81732976820358,27.320351788863693,0.2014257379695693
traffic,extratrees,18,104,21.54729496082621,26.823072153540902,0.19668802896681759
traffic,extratrees,19,104,16.661438924501425,13.730522168803418,-0.2134599631146752
traffic,extratrees,20,104,14.819626755189255,12.189002721815221,-0.21581946393907048
traffic,extratrees,21,104,13.503723767551888,12.514915293040294,-0.07901040089831701
traffic,extratrees,22,104,13.584594824735449,12.494200562169313,-0.08727203130288275
traffic,extratrees,23,104,12.505898402523401,10.627130392755392,-0.17678977676314034
traffic,extratrees,24,104,13.680245446682948,11.85423471204721,-0.15403868566732526
traffic,extratrees,25,104,13.63340523249898,11.986406504375255,-0.13740554581746744
traffic,extratrees,26,104,13.591162304131053,12.501018454924703,-0.08720440283622621
traffic,extratrees,27,104,12.992075218762718,13.292096560846561,0.022571408559247996
traffic,extratrees,28,104,12.728606029965402,12.746190094627593,0.001379554559570173
traffic,extratrees,29,104,13.99148221916972,12.632479904354906,-0.1075800100300428
traffic,extratrees,30,104,14.993410955942203,13.36960183913309,-0.12145530856844156
traffic,extratrees,31,104,15.863438008750505,14.066228187321936,-0.12776771409470067
traffic,extratrees,32,104,16.88593928062678,15.365454886548637,-0.09895472703572339
traffic,extratrees,33,104,16.997006760022387,14.73841257122507,-0.1532454175700675
traffic,extratrees,34,104,15.997004477004474,14.426781262718764,-0.10884085546811684
traffic,extratrees,35,104,15.07124155474155,14.375001907814408,-0.04843405596688366
traffic,extratrees,36,104,15.739933328245828,15.054077635327635,-0.04555946299284952
traffic,extratrees,37,104,15.327890987484738,15.164590646621898,-0.01076852944258122
traffic,extratrees,38,104,14.604372774216527,14.738683162901914,0.009112780782441487
traffic,extratrees,39,104,18.575893105158727,18.26606634106634,-0.01696187664641413
traffic,extratrees,40,104,21.25805344250657,22.03633527930403,0.03531811560011999
traffic,extratrees,41,104,23.61181990483408,30.44198177401302,0.2243665317154072
traffic,extratrees,42,103,24.790737464133446,30.748677569733392,0.19376248269826335
traffic,extratrees,43,103,18.800195065257405,17.183191747572817,-0.09410378126712082
traffic,extratrees,44,103,14.941805895875074,13.836236001952022,-0.07990394886059171
traffic,extratrees,45,103,14.547002240971903,13.900599732881284,-0.046501771183410145
traffic,extratrees,46,103,15.046740978322287,14.541442890532696,-0.03474882730644069
traffic,extratrees,47,103,14.779362677865107,13.622802691734732,-0.08489882825889317
traffic,extratrees,48,103,14.941486656906562,15.288506511018644,0.022698087210937135
traffic,extratrees,49,103,14.86800509195048,14.068193930754612,-0.056852440699398654
traffic,extratrees,50,103,13.783360096573688,14.344297079673291,0.03910522627800872
traffic,extratrees,51,103,13.353449292392257,13.809529909590589,0.033026512863525315
traffic,extratrees,52,103,13.320858093183334,13.639277687882059,0.023345781351869377
traffic,extratrees,53,103,14.231865772846353,13.493088303282478,-0.05475228894664186
traffic,extratrees,54,103,16.66241018133251,14.757646594236395,-0.12906960299754178
traffic,extratrees,55,103,16.416085901782502,15.013221734216883,-0.09344191356131959
traffic,extratrees,56,103,17.774303924590335,15.860128037191146,-0.12069107405126545
traffic,extratrees,57,103,17.673700056505883,15.640964195818567,-0.12996231148145876
traffic,extratrees,58,103,14.72035219859249,15.36577477269225,0.04200390697166745
traffic,extratrees,59,103,13.450233150973439,14.031057045256075,0.04139559068210141
traffic,extratrees,60,103,14.372376104433142,14.099655185698873,-0.019342382146400716
traffic,extratrees,61,103,16.790564801972568,15.069107335490829,-0.11423752105258123
traffic,extratrees,62,103,16.467744368675195,14.848417193198747,-0.10905722505009985
traffic,extratrees,63,103,18.39815817794216,17.407677415626445,-0.05689907611836742
traffic,extratrees,64,103,19.79824482457492,20.91725130990908,0.05349682273043477
traffic,extratrees,65,103,23.332310435608978,28.6927174834335,0.18682116989858122
traffic,extratrees,66,102,24.715868858139963,30.223191915655153,0.18222175450179634
traffic,extratrees,67,102,17.530120830739705,18.917931385517168,0.07335952998750783
traffic,extratrees,68,102,16.48212996031746,14.92542859736487,-0.10429860374176658
traffic,extratrees,69,102,15.208701097105507,14.39384596431165,-0.05661135563172093
traffic,extratrees,70,102,15.862367575733996,14.489347312999273,-0.0947606702410193
traffic,extratrees,71,102,14.284014608621229,14.828260192966077,0.036703266415773816
traffic,extratrees,72,102,13.810910390081958,15.287932163606182,0.0966135745317056
traffic,knn,1,105,5.103035084404132,3.8643137440161253,-0.32055402910960895
traffic,knn,2,105,6.283677563618041,5.316487780297304,-0.18192269469801192
traffic,knn,3,105,6.637560657596372,6.526265432098764,-0.01705343226621059
traffic,knn,4,105,8.022307634164777,7.002453388762913,-0.14564241827563773
traffic,knn,5,105,9.675445578231294,6.897313869992444,-0.40278458550732776
traffic,knn,6,105,10.223196963970773,8.389132968002016,-0.2186237842413843
traffic,knn,7,105,10.549272297808013,8.69239417989418,-0.2136210208010192
traffic,knn,8,105,11.405763542454016,9.012471025447216,-0.2655534215032931
traffic,knn,9,105,11.148117157974301,8.96794249181154,-0.243107565436937
traffic,knn,10,105,12.1338778659612,9.904046674225246,-0.22514344540994258
traffic,knn,11,105,13.372809838750312,10.154884101788864,-0.31688453602287625
traffic,knn,12,105,11.59717945326279,10.430003464348703,-0.11190561852674996
traffic,knn,13,105,12.331440161249684,10.888853300579493,-0.13248289979197514
traffic,knn,14,105,12.446359284454523,10.919876858150669,-0.1397893443426954
traffic,knn,15,105,15.282578672209626,13.727793209876541,-0.11325822283034426
traffic,knn,16,105,20.008539808515998,18.385181720836478,-0.0882970923175439
traffic,knn,17,105,23.783129188712522,27.320351788863693,0.12947207369390512
traffic,knn,18,104,22.31036305708181,26.823072153540902,0.16823982989820851
traffic,knn,19,104,17.715228111009363,13.73052216880342,-0.2902078954622307
traffic,knn,20,104,14.62255132020757,12.189002721815221,-0.19965116539328642
traffic,knn,21,104,13.179830204517705,12.514915293040294,-0.05312979719864175
traffic,knn,22,104,13.29901048026048,12.494200562169313,-0.06441467896137487
traffic,knn,23,104,12.289415445665444,10.627130392755392,-0.15641899473099974
traffic,knn,24,104,13.264357384513634,11.85423471204721,-0.11895518409411499
traffic,knn,25,104,13.228481824888075,11.986406504375255,-0.10362366069092022
traffic,knn,26,104,14.564973417785918,12.501018454924703,-0.16510294503630085
traffic,knn,27,104,15.328648504273504,13.292096560846561,-0.15321525344811637
traffic,knn,28,104,14.213222489316239,12.746190094627593,-0.115095756755345
traffic,knn,29,104,14.52127600986976,12.632479904354906,-0.14951902712813459
traffic,knn,30,104,15.877009818884819,13.36960183913309,-0.18754544899104597
traffic,knn,31,104,16.024113947395197,14.066228187321936,-0.13919053025443784
traffic,knn,32,104,17.26561043701669,15.365454886548637,-0.12366412608659605
traffic,knn,33,104,17.48127162189662,14.73841257122507,-0.186102745965101
traffic,knn,34,104,16.626746731277983,14.426781262718766,-0.1524917740483318
traffic,knn,35,104,15.118297593610096,14.375001907814408,-0.05170751910590177
traffic,knn,36,104,15.399016966829466,15.054077635327635,-0.022913348785471577
traffic,knn,37,104,15.115931077024827,15.164590646621898,0.003208762486965666
