domain,model,horizon,n_origins_x,mae_model,mae_baseline,skill,n_origins_y,dm_stat,p_value,p_value_bh,significant_bh,h_relax,h_strict,h_start,h_end,n_sign_changes
pm25,extratrees,1,365,16.319068493150688,15.073972602739726,-0.0825990548891313,365,-2.4674010510875983,0.0140692013261882,0.0361779462673412,True,48,26,23,48,3
pm25,extratrees,2,365,27.36372602739726,23.71780821917808,-0.1537206884602056,365,-3.325195499359093,0.000973446792474,0.0063716517325572,True,48,26,23,48,3
pm25,extratrees,3,365,35.58909589041096,32.06849315068493,-0.1097838530542503,365,-2.7597727215708083,0.0060766584624216,0.022020092263502,True,48,26,23,48,3
pm25,extratrees,4,365,42.25375342465754,37.394520547945206,-0.1299450509194815,365,-2.37231605057804,0.0181961716392389,0.044410995187295,True,48,26,23,48,3
pm25,extratrees,5,365,46.554575342465746,40.95890410958904,-0.1366167224080265,365,-2.738517921891217,0.0064750759384406,0.0227417301252549,True,48,26,23,48,3
pm25,extratrees,6,365,51.891397260273976,46.605479452054794,-0.1134183763447183,365,-2.5714058085433016,0.0105249781604841,0.0311505684943156,True,48,26,23,48,3
pm25,extratrees,7,365,52.58164383561644,46.21917808219178,-0.137658565500889,365,-3.2472794900195443,0.0012733677379639,0.0076402064277836,True,48,26,23,48,3
pm25,extratrees,8,365,53.965041095890406,49.18630136986302,-0.0971559070907368,365,-2.152616331769847,0.0320055976320075,0.0709047086001396,False,48,26,23,48,3
pm25,extratrees,9,365,53.6345205479452,49.86027397260274,-0.0756964668388371,365,-1.3044749859636433,0.1928958619997569,0.3086333791996111,False,48,26,23,48,3
pm25,extratrees,10,365,55.56997260273973,51.42465753424658,-0.0806094832179009,365,-1.3197055355633236,0.1877627522978902,0.3037959138302942,False,48,26,23,48,3
pm25,extratrees,11,365,58.59797260273973,54.37534246575343,-0.0776570766362674,365,-1.5449656700857075,0.1232234935467979,0.2218022883842363,False,48,26,23,48,3
pm25,extratrees,12,365,60.2733698630137,59.14794520547945,-0.0190272824123396,365,-0.4491670255078455,0.6535784820611301,0.7352757923187714,False,48,26,23,48,3
pm25,extratrees,13,365,59.52871232876712,61.07671232876712,0.0253451756156641,365,0.6556024108568145,0.5124941164175627,0.6361995927942158,False,48,26,23,48,3
pm25,extratrees,14,365,60.24641095890411,61.87397260273973,0.0263044633368757,365,0.6681134711778975,0.5044845740897055,0.6361995927942158,False,48,26,23,48,3
