horizon,baseline_mae,model_mae
1,2.288728813559322,2.133466925272299
2,2.857598870056497,2.517883825926822
3,2.9680508474576275,2.622682506758112
4,3.1215254237288135,2.7599365391687734
5,3.0523446327683614,2.718162281161691
6,3.2521751412429376,2.877399804387751
7,3.226638418079096,2.8503491851200664
8,3.417711864406779,3.035529405713527
9,3.4322881355932204,3.025612016173954
10,3.305536723163842,2.899198184179925
11,3.3940960451977396,2.982050982655286
12,3.530084745762712,3.103870356077414
13,3.6894067796610175,3.26220637509736
14,3.695254237288136,3.3141011002831537
15,3.7450282485875714,3.394568727882526
16,3.7537288135593223,3.389997112962576
17,3.6387570621468925,3.2780758890160575
18,3.506883852691218,3.1179993211949926
19,3.511076487252125,3.107221549348281
20,3.436090651558074,3.091414673193437
21,3.5632861189801703,3.2010400690924814
22,3.5230594900849854,3.2283095584991286
23,3.388158640226629,3.067270729634436
24,3.4781534090909094,3.1366033517617598
25,3.6994034090909085,3.33526610852266
26,3.724261363636364,3.2932166943265107
27,3.7190625,3.292907020932429
28,3.7423863636363635,3.308504664883702
29,3.6588352272727267,3.2611849577017042
30,3.7294318181818182,3.3375348218606744
31,3.803153409090909,3.387905476541741
32,3.8552556818181825,3.4147744171175844
33,3.7969886363636363,3.388506880646778
34,3.6268181818181815,3.213087024523216
35,3.6338352272727277,3.236578865649325
36,3.8380965909090907,3.3844820355729848
37,4.030710227272727,3.5841420717456134
38,4.265028409090909,3.857154524366562
39,4.271761363636364,3.852032094132144
40,4.226221590909091,3.8274402439735193
41,4.003352272727272,3.619251054728401
42,3.8521937321937325,3.460048301441346
43,3.8798290598290603,3.455801931734484
44,3.839145299145299,3.426510631111848
45,3.8662393162393167,3.4641971456763594
46,4.026438746438747,3.6395092392218364
47,3.876381766381767,3.4748460297000308
48,3.904742857142857,3.462104280861486
