horizon,baseline_mae,model_mae
1,1.6634052757793765,1.8757569182749039
2,2.2298857925993607,2.25416133698797
3,2.5432381496287837,2.497259851513421
4,2.7607539410555173,2.6703255654557916
5,2.91304352793328,2.8166247762671843
6,3.045262797074954,2.946786639244363
7,3.169133813278482,3.065621452786348
8,3.2737119999999997,3.153110095238095
9,3.356191564750257,3.2189480702556486
10,3.427185642432556,3.2737151348879743
11,3.455072596318738,3.3233733470523226
12,3.5160793505602563,3.3693612318012045
13,3.566897655803316,3.3804852296550405
14,3.567704711802379,3.3677801921317467
15,3.5555095504975407,3.344720728964124
16,3.536163349347975,3.311202242049874
17,3.500586889371925,3.2828387293597228
18,3.4766212814645305,3.2508260869565215
19,3.4488293855132164,3.217619102109318
20,3.41868390936141,3.1909849698634316
21,3.411592079661211,3.174963564915493
22,3.3758722527472527,3.168439026251526
23,3.3715443617630227,3.179642434649876
24,3.3916956720861005,3.2203244027173494
25,3.418141532119546,3.273950150769113
26,3.484837379752634,3.3515479462513356
27,3.568149123811706,3.4404986064979193
28,3.6496620847651773,3.523086292478045
29,3.7284293733531904,3.5839202657807303
30,3.7723831347387717,3.6299148334860982
31,3.8301833390626783,3.6709648218173485
32,3.8619722667889067,3.705014898005959
33,3.8903736389684815,3.736846227316141
34,3.9110648784961026,3.752148479290845
35,3.928979708815774,3.7653402881271734
36,3.9410548039440503,3.7852835741037985
37,3.9499988533425068,3.7890616519512283
38,3.96394380733945,3.765969418960244
39,3.9401525404289486,3.7413044309362697
40,3.9050986464785504,3.7125089852412634
41,3.8858666972582308,3.673819739206913
42,3.8532365764111973,3.6149606088419763
43,3.789091222030981,3.5522306368330465
44,3.7291312829928853,3.504656108943462
45,3.691594169631585,3.471261333639389
46,3.673220844811754,3.460268212427303
47,3.6631913672368266,3.4663999540810466
48,3.6581125143513202,3.477433601224646
