domain,model,horizon,n_origins,mae_model,mae_baseline,skill
wind,extratrees,1,352,2.294865340909091,2.289659090909091,-0.002273810114646002
wind,extratrees,2,352,2.5544045454545454,2.8569886363636363,0.10591014855915515
wind,extratrees,3,352,2.5428494318181816,2.969971590909091,0.14381355040509658
wind,extratrees,4,352,2.6743835227272728,3.1241761363636367,0.14397159251075287
wind,extratrees,5,352,2.6026835227272724,3.054090909090909,0.14780417472838236
wind,extratrees,6,352,2.6742556818181815,3.2537784090909088,0.17810761963800825
wind,extratrees,7,352,2.5978068181818186,3.2374431818181817,0.1975745450078097
wind,extratrees,8,352,2.687728977272727,3.431988636363636,0.21685959306656954
wind,extratrees,9,352,2.674609659090909,3.4388068181818183,0.2222274176759249
wind,extratrees,10,352,2.7161221590909093,3.3134659090909095,0.18027762059090835
wind,extratrees,11,352,2.758875,3.4072443181818177,0.19029140784591636
wind,extratrees,12,352,2.7888647727272726,3.5420738636363636,0.21264635349411698
wind,extratrees,13,352,2.9506602272727274,3.6944886363636367,0.20133460467834463
wind,extratrees,14,352,2.993513068181818,3.7011647727272727,0.1911970279626346
wind,extratrees,15,352,2.9916090909090913,3.7579261363636367,0.20392019897338198
wind,extratrees,16,352,3.113372727272727,3.764375,0.17293767829381312
wind,extratrees,17,352,3.1413130681818178,3.6564204545454544,0.14087750376827812
wind,extratrees,18,351,3.055388603988604,3.521880341880342,0.13245530586160603
wind,extratrees,19,351,3.075233618233618,3.5243874643874644,0.12744167623235747
wind,extratrees,20,351,3.097558974358974,3.448034188034188,0.10164493579891931
wind,extratrees,21,351,3.1735709401709404,3.569344729344729,0.11088135755563344
wind,extratrees,22,351,3.335156695156695,3.528233618233618,0.05472339532142012
wind,extratrees,23,351,3.1107646723646725,3.3898860398860395,0.08233945455309477
wind,extratrees,24,351,2.952733903133903,3.4789458689458685,0.15125615218940136
wind,extratrees,25,351,3.094990313390314,3.703105413105413,0.1642176043822462
wind,extratrees,26,351,3.0071749287749285,3.724472934472934,0.19259047342211755
wind,extratrees,27,351,3.098034757834758,3.717264957264957,0.16658220668935286
wind,extratrees,28,351,2.919079772079771,3.737777777777778,0.2190333546754477
wind,extratrees,29,351,3.0022,3.6527920227920223,0.17810814815970288
wind,extratrees,30,351,3.0550159544159543,3.7214814814814807,0.17908607912787833
wind,extratrees,31,351,2.9366569800569797,3.802165242165242,0.2276356252247933
wind,extratrees,32,351,3.0155361823361826,3.8619943019943017,0.2191764289297411
wind,extratrees,33,351,3.118906552706553,3.8074643874643876,0.18084419568698462
wind,extratrees,34,351,3.0356769230769225,3.634586894586894,0.16478075469923337
wind,extratrees,35,351,3.0155982905982905,3.6398290598290597,0.17150002348189541
wind,extratrees,36,351,3.1151179487179483,3.8474074074074074,0.19033322472675585
wind,extratrees,37,351,3.227705982905983,4.041566951566952,0.20137263056979116
wind,extratrees,38,351,3.2549042735042732,4.277037037037037,0.23898150861954126
wind,extratrees,39,351,3.114274643874644,4.279259259259259,0.2722397837578727
wind,extratrees,40,351,3.23091396011396,4.235242165242166,0.23713595727076442
